owner,repo,files_py,total_loc,total_functions,total_classes,total_assignments,total_pipelines,total_custom_pipeline_classes,max_function_depth,has_dynamic_construct_any,functions_per_kloc,assignments_per_kloc,pipelines_per_kloc,functions_per_file,reason
EmbraceAGI,awesome-chatgpt-zh,1,31,3,0,9,0,0,1,False,96.774,290.323,0.0,3.0,zero_loc
GreyDGL,PentestGPT,8,109,3,0,10,0,0,1,False,27.523,91.743,0.0,0.375,zero_loc
Abonia1,Context-Based-LLMChatbot,3,138,4,0,25,0,0,1,False,28.986,181.159,0.0,1.333,zero_loc
karpathy,minGPT,9,1250,56,11,308,0,0,1,True,44.8,246.4,0.0,6.222,zero_loc
ushakrishnan,SearchWithOpenAI,7,222,9,0,36,0,0,1,False,40.541,162.162,0.0,1.286,zero_loc
facebookresearch,DiT,10,2224,97,15,442,0,0,2,True,43.615,198.741,0.0,9.7,zero_loc
EmbraceAGI,LocalAGI,4,2008,74,12,285,0,0,1,True,36.853,141.932,0.0,18.5,zero_loc
junruxiong,IncarnaMind,9,2341,54,9,363,2,0,1,False,23.067,155.062,0.854,6.0,zero_loc
langchain-ai,chat-langchain,9,1278,33,7,184,0,0,2,False,25.822,143.975,0.0,3.667,zero_loc
chinesewebman,doc-chatbot,8,830,49,6,155,0,0,2,False,59.036,186.747,0.0,6.125,zero_loc
dotvignesh,PDFChat,1,121,0,0,25,0,0,0,False,0.0,206.612,0.0,0.0,zero_loc
VTSTech,localagi,8,501,23,0,100,1,0,1,False,45.908,199.601,1.996,2.875,zero_loc
edrickdch,chat-pdf,2,195,9,0,29,0,0,1,False,46.154,148.718,0.0,4.5,zero_loc
Doriandarko,BabyAGIChatGPT,1,220,6,1,50,0,0,1,False,27.273,227.273,0.0,6.0,zero_loc
Haste171,langchain-chatbot,6,305,4,0,63,0,0,1,False,13.115,206.557,0.0,0.667,zero_loc
AgentJ-WR,Private-GPT-Flask,2,181,6,1,28,0,0,1,False,33.149,154.696,0.0,3.0,zero_loc
mayooear,private-chatbot-mpt30b-langchain,6,410,10,1,49,0,0,1,False,24.39,119.512,0.0,1.667,zero_loc
iMagist486,ElasticSearch-Langchain-Chatglm2,10,484,34,12,100,0,0,1,True,70.248,206.612,0.0,3.4,zero_loc
c121914yu,FastGPT,1,243,2,8,40,0,0,1,False,8.23,164.609,0.0,2.0,zero_loc
yvann-hub,Robby-chatbot,8,500,33,6,87,0,0,2,False,66.0,174.0,0.0,4.125,zero_loc
ai8hyf,babyagi,9,879,36,4,157,0,0,1,False,40.956,178.612,0.0,4.0,zero_loc
imartinez,privateGPT,2,182,6,1,28,0,0,1,False,32.967,153.846,0.0,3.0,zero_loc
meta-llama,llama,7,1179,27,11,158,0,0,1,False,22.901,134.012,0.0,3.857,zero_loc
gabacode,ChatBot-PDF,6,332,23,5,54,0,0,1,False,69.277,162.651,0.0,3.833,zero_loc
benjaminearlevans,Chatgpt-babyagi-plugin,1,220,6,1,50,0,0,1,False,27.273,227.273,0.0,6.0,zero_loc
labring,FastGPT,8,872,22,20,138,0,0,1,False,25.229,158.257,0.0,2.75,zero_loc
yoheinakajima,babyagi,1,185,7,0,44,0,0,1,False,37.838,237.838,0.0,7.0,zero_loc
alejandro-ao,ask-multiple-pdfs,2,148,6,0,22,0,0,1,False,40.541,148.649,0.0,3.0,zero_loc
aigeek0x0,chat-with-multiple-pdfs-streamlit-langchain-faiss-openai,2,135,6,0,23,0,0,1,False,44.444,170.37,0.0,3.0,zero_loc
daveshap,ChromaDB_Chatbot_Public,2,179,4,0,46,0,0,1,False,22.346,256.983,0.0,2.0,zero_loc
REFRIED-BoolEANS,privatgpt-gui,3,356,12,1,74,0,0,1,False,33.708,207.865,0.0,4.0,zero_loc
matigumma,bb.agi,9,879,36,4,157,0,0,1,False,40.956,178.612,0.0,4.0,zero_loc
kroll-software,babyagi4all,1,387,19,2,76,0,0,1,False,49.096,196.382,0.0,19.0,zero_loc
dory111111,babyagi-streamlit,8,563,21,0,106,0,0,1,False,37.3,188.277,0.0,2.625,zero_loc
menloparklab,privateGPT-app,3,212,8,0,38,0,0,1,False,37.736,179.245,0.0,2.667,zero_loc
fendouai,babyagi_zh,8,586,22,0,107,0,0,1,False,37.543,182.594,0.0,2.75,zero_loc
meta-llama,llama3,8,1154,38,13,176,0,0,1,False,32.929,152.513,0.0,4.75,zero_loc
oshoura,IslamAI,1,94,1,0,26,0,0,1,False,10.638,276.596,0.0,1.0,zero_loc
hamelsmu,chat-langchain,5,282,8,4,44,0,0,1,False,28.369,156.028,0.0,1.6,zero_loc
alexdphan,babyagi-chroma-agent,1,405,14,4,57,0,0,1,False,34.568,140.741,0.0,14.0,zero_loc
